timestamp,percent_coverage,total_delay,count_pending
2018-11-26 17:33:02.741128,0.0,0 days 03:56:35.120264000,7
2018-11-26 17:16:15.933668,0.0,0 days 01:59:07.468044000,7
2018-11-26 17:21:35.380138,0.0,0 days 02:36:23.593334000,7
2018-11-26 17:33:47.464936,0.0,0 days 04:01:48.186920000,7
2018-11-26 17:34:34.475010,0.0,0 days 04:07:17.257438000,7
2018-11-26 17:37:44.587582,0.0,0 days 04:29:28.045442000,8
2018-11-26 17:39:01.933668,0.0,0 days 04:39:46.814130000,8
2018-11-26 17:37:24.954220,0.10101010101010101,0 days 04:26:50.978546000,8
2018-11-26 17:37:24.954220,0.0,0 days 03:29:23.384215000,7
2018-11-26 17:36:09.886109,0.0,0 days 03:20:37.907438000,7
2018-11-26 17:55:57.942982,0.0,0 days 05:39:14.305549000,8
2018-11-26 17:57:20.475010,0.2727272727272727,0 days 05:50:14.561773000,8
2018-11-26 17:57:20.475010,0.0,0 days 04:38:24.040760000,7
2018-11-26 17:41:51.174745,0.0,0 days 02:49:58.938905000,7
2018-11-26 17:52:24.380138,0.10101010101010101,0 days 04:03:51.376656000,7
2018-11-26 17:52:24.380138,0.0,0 days 02:57:57.797497000,6
2018-11-26 17:53:09.174745,0.0,0 days 03:02:26.565139000,6
2018-11-26 17:59:47.408316,0.0,0 days 03:42:15.966565000,7
2018-11-26 18:01:13.741128,0.0,0 days 03:52:20.296249000,7
2018-11-26 17:56:33.464936,0.0,0 days 03:19:38.362905000,7
2018-11-26 17:57:16.954220,0.0,0 days 03:24:42.787893000,7
2018-11-26 17:58:55.886109,0.2828282828282828,0 days 03:36:15.311116000,7
2018-11-26 17:58:55.886109,0.0,0 days 02:38:36.643828000,6
2018-11-26 18:06:18.072137,0.0,0 days 03:22:49.759996000,7
2018-11-26 18:20:50.475010,0.0,0 days 05:04:36.580107000,7
2018-11-26 17:58:54.933668,0.0,0 days 02:31:07.790713000,7
2018-11-26 18:07:11.380138,0.0,0 days 03:29:02.916003000,7
2018-11-26 18:14:33.886109,0.0,0 days 04:20:40.457800000,7
2018-11-26 18:22:09.513032,0.0,0 days 05:13:49.846261000,8
2018-11-26 18:33:47.741128,0.0,0 days 06:46:55.671029000,8
2018-11-26 18:28:25.464936,0.0,0 days 06:03:57.461493000,8
2018-11-26 18:10:24.954220,0.0,0 days 03:39:53.375765000,8
2018-11-26 18:31:20.174745,0.0707070707070707,0 days 06:27:15.139965000,8
2018-11-26 18:31:20.174745,0.0,0 days 05:08:58.788840000,7
2018-11-26 18:43:02.727537,0.0,0 days 06:30:56.658384000,8
2018-11-26 18:44:01.433060,0.0,0 days 06:38:46.302568000,9
2018-11-26 18:46:10.483841,0.0,0 days 06:58:07.759597000,10
2018-11-26 18:49:03.783992,0.0,0 days 07:27:00.761107000,11
2018-11-26 18:54:19.475010,0.0,0 days 08:24:53.362305000,11
2018-11-26 18:45:50.933668,0.12121212121212122,0 days 06:51:39.407543000,11
2018-11-26 18:45:50.933668,0.0,0 days 05:19:58.540343000,10
2018-11-26 18:18:05.380138,0.0,0 days 00:42:23.005043000,10
2018-11-26 18:45:22.886109,0.0,0 days 05:15:18.064753000,10
2018-11-26 18:54:37.278752,0.0,0 days 06:47:41.991183000,11
2018-11-26 19:06:15.741128,0.0,0 days 08:55:45.077319000,11
2018-11-26 18:59:14.464936,0.0707070707070707,0 days 07:38:31.039207000,11
2018-11-26 18:59:14.464936,0.0,0 days 05:53:31.418129000,10
2018-11-26 18:35:32.954220,0.0,0 days 01:56:36.310969000,10
